frase1,fol1,frase2,fol2,relacion
todo agujero amargo no ama o no aguanta ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún agujero amargo ama y aguanta,-exists x.(AGUJERO(x) & AMARGO(x) & AMAR(x) & AGUANTAR(x)),1
todo agujero amargo no ama o no amanece ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMAR(x) | -AMANECER(x))), ningún agujero amargo ama y amanece,-exists x.(AGUJERO(x) & AMARGO(x) & AMAR(x) & AMANECER(x)),1
todo agujero amargo no ama o no anochece ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún agujero amargo ama y anochece,-exists x.(AGUJERO(x) & AMARGO(x) & AMAR(x) & ANOCHECER(x)),1
todo agujero amplio no ama o no acuerda ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún agujero amplio ama y acuerda,-exists x.(AGUJERO(x) & AMPLIO(x) & AMAR(x) & ACORDAR(x)),1
todo agujero amplio no ama o no aguanta ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún agujero amplio ama y aguanta,-exists x.(AGUJERO(x) & AMPLIO(x) & AMAR(x) & AGUANTAR(x)),1
todo agujero amplio no ama o no amanece ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMAR(x) | -AMANECER(x))), ningún agujero amplio ama y amanece,-exists x.(AGUJERO(x) & AMPLIO(x) & AMAR(x) & AMANECER(x)),1
todo agujero amplio no ama o no anochece ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún agujero amplio ama y anochece,-exists x.(AGUJERO(x) & AMPLIO(x) & AMAR(x) & ANOCHECER(x)),1
todo agujero amarillo no ama o no acuerda ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún agujero amarillo ama y acuerda,-exists x.(AGUJERO(x) & AMARILLO(x) & AMAR(x) & ACORDAR(x)),1
todo agujero amarillo no ama o no aguanta ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún agujero amarillo ama y aguanta,-exists x.(AGUJERO(x) & AMARILLO(x) & AMAR(x) & AGUANTAR(x)),1
todo agujero amarillo no ama o no amanece ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMAR(x) | -AMANECER(x))), ningún agujero amarillo ama y amanece,-exists x.(AGUJERO(x) & AMARILLO(x) & AMAR(x) & AMANECER(x)),1
todo agujero amarillo no ama o no anochece ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún agujero amarillo ama y anochece,-exists x.(AGUJERO(x) & AMARILLO(x) & AMAR(x) & ANOCHECER(x)),1
todo agujero alegre no amanece o no acuerda ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-AMANECER(x) | -ACORDAR(x))), ningún agujero alegre amanece y acuerda,-exists x.(AGUJERO(x) & ALEGRE(x) & AMANECER(x) & ACORDAR(x)),1
todo agujero alegre no amanece o no aguanta ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-AMANECER(x) | -AGUANTAR(x))), ningún agujero alegre amanece y aguanta,-exists x.(AGUJERO(x) & ALEGRE(x) & AMANECER(x) & AGUANTAR(x)),1
todo agujero alegre no amanece o no ama ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-AMANECER(x) | -AMAR(x))), ningún agujero alegre amanece y ama,-exists x.(AGUJERO(x) & ALEGRE(x) & AMANECER(x) & AMAR(x)),1
todo agujero alegre no amanece o no anochece ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-AMANECER(x) | -ANOCHECER(x))), ningún agujero alegre amanece y anochece,-exists x.(AGUJERO(x) & ALEGRE(x) & AMANECER(x) & ANOCHECER(x)),1
todo agujero alto no amanece o no acuerda ,all x.((AGUJERO(x) & ALTO(x)) -> (-AMANECER(x) | -ACORDAR(x))), ningún agujero alto amanece y acuerda,-exists x.(AGUJERO(x) & ALTO(x) & AMANECER(x) & ACORDAR(x)),1
todo agujero alto no amanece o no aguanta ,all x.((AGUJERO(x) & ALTO(x)) -> (-AMANECER(x) | -AGUANTAR(x))), ningún agujero alto amanece y aguanta,-exists x.(AGUJERO(x) & ALTO(x) & AMANECER(x) & AGUANTAR(x)),1
todo agujero alto no amanece o no ama ,all x.((AGUJERO(x) & ALTO(x)) -> (-AMANECER(x) | -AMAR(x))), ningún agujero alto amanece y ama,-exists x.(AGUJERO(x) & ALTO(x) & AMANECER(x) & AMAR(x)),1
todo agujero alto no amanece o no anochece ,all x.((AGUJERO(x) & ALTO(x)) -> (-AMANECER(x) | -ANOCHECER(x))), ningún agujero alto amanece y anochece,-exists x.(AGUJERO(x) & ALTO(x) & AMANECER(x) & ANOCHECER(x)),1
todo agujero amargo no amanece o no acuerda ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMANECER(x) | -ACORDAR(x))), ningún agujero amargo amanece y acuerda,-exists x.(AGUJERO(x) & AMARGO(x) & AMANECER(x) & ACORDAR(x)),1
todo agujero amargo no amanece o no aguanta ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMANECER(x) | -AGUANTAR(x))), ningún agujero amargo amanece y aguanta,-exists x.(AGUJERO(x) & AMARGO(x) & AMANECER(x) & AGUANTAR(x)),1
todo agujero amargo no amanece o no ama ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMANECER(x) | -AMAR(x))), ningún agujero amargo amanece y ama,-exists x.(AGUJERO(x) & AMARGO(x) & AMANECER(x) & AMAR(x)),1
todo agujero amargo no amanece o no anochece ,all x.((AGUJERO(x) & AMARGO(x)) -> (-AMANECER(x) | -ANOCHECER(x))), ningún agujero amargo amanece y anochece,-exists x.(AGUJERO(x) & AMARGO(x) & AMANECER(x) & ANOCHECER(x)),1
todo agujero amplio no amanece o no acuerda ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMANECER(x) | -ACORDAR(x))), ningún agujero amplio amanece y acuerda,-exists x.(AGUJERO(x) & AMPLIO(x) & AMANECER(x) & ACORDAR(x)),1
todo agujero amplio no amanece o no aguanta ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMANECER(x) | -AGUANTAR(x))), ningún agujero amplio amanece y aguanta,-exists x.(AGUJERO(x) & AMPLIO(x) & AMANECER(x) & AGUANTAR(x)),1
todo agujero amplio no amanece o no ama ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMANECER(x) | -AMAR(x))), ningún agujero amplio amanece y ama,-exists x.(AGUJERO(x) & AMPLIO(x) & AMANECER(x) & AMAR(x)),1
todo agujero amplio no amanece o no anochece ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-AMANECER(x) | -ANOCHECER(x))), ningún agujero amplio amanece y anochece,-exists x.(AGUJERO(x) & AMPLIO(x) & AMANECER(x) & ANOCHECER(x)),1
todo agujero amarillo no amanece o no acuerda ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMANECER(x) | -ACORDAR(x))), ningún agujero amarillo amanece y acuerda,-exists x.(AGUJERO(x) & AMARILLO(x) & AMANECER(x) & ACORDAR(x)),1
todo agujero amarillo no amanece o no aguanta ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMANECER(x) | -AGUANTAR(x))), ningún agujero amarillo amanece y aguanta,-exists x.(AGUJERO(x) & AMARILLO(x) & AMANECER(x) & AGUANTAR(x)),1
todo agujero amarillo no amanece o no ama ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMANECER(x) | -AMAR(x))), ningún agujero amarillo amanece y ama,-exists x.(AGUJERO(x) & AMARILLO(x) & AMANECER(x) & AMAR(x)),1
todo agujero amarillo no amanece o no anochece ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-AMANECER(x) | -ANOCHECER(x))), ningún agujero amarillo amanece y anochece,-exists x.(AGUJERO(x) & AMARILLO(x) & AMANECER(x) & ANOCHECER(x)),1
todo agujero alegre no anochece o no acuerda ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-ANOCHECER(x) | -ACORDAR(x))), ningún agujero alegre anochece y acuerda,-exists x.(AGUJERO(x) & ALEGRE(x) & ANOCHECER(x) & ACORDAR(x)),1
todo agujero alegre no anochece o no aguanta ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-ANOCHECER(x) | -AGUANTAR(x))), ningún agujero alegre anochece y aguanta,-exists x.(AGUJERO(x) & ALEGRE(x) & ANOCHECER(x) & AGUANTAR(x)),1
todo agujero alegre no anochece o no ama ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-ANOCHECER(x) | -AMAR(x))), ningún agujero alegre anochece y ama,-exists x.(AGUJERO(x) & ALEGRE(x) & ANOCHECER(x) & AMAR(x)),1
todo agujero alegre no anochece o no amanece ,all x.((AGUJERO(x) & ALEGRE(x)) -> (-ANOCHECER(x) | -AMANECER(x))), ningún agujero alegre anochece y amanece,-exists x.(AGUJERO(x) & ALEGRE(x) & ANOCHECER(x) & AMANECER(x)),1
todo agujero alto no anochece o no acuerda ,all x.((AGUJERO(x) & ALTO(x)) -> (-ANOCHECER(x) | -ACORDAR(x))), ningún agujero alto anochece y acuerda,-exists x.(AGUJERO(x) & ALTO(x) & ANOCHECER(x) & ACORDAR(x)),1
todo agujero alto no anochece o no aguanta ,all x.((AGUJERO(x) & ALTO(x)) -> (-ANOCHECER(x) | -AGUANTAR(x))), ningún agujero alto anochece y aguanta,-exists x.(AGUJERO(x) & ALTO(x) & ANOCHECER(x) & AGUANTAR(x)),1
todo agujero alto no anochece o no ama ,all x.((AGUJERO(x) & ALTO(x)) -> (-ANOCHECER(x) | -AMAR(x))), ningún agujero alto anochece y ama,-exists x.(AGUJERO(x) & ALTO(x) & ANOCHECER(x) & AMAR(x)),1
todo agujero alto no anochece o no amanece ,all x.((AGUJERO(x) & ALTO(x)) -> (-ANOCHECER(x) | -AMANECER(x))), ningún agujero alto anochece y amanece,-exists x.(AGUJERO(x) & ALTO(x) & ANOCHECER(x) & AMANECER(x)),1
todo agujero amargo no anochece o no acuerda ,all x.((AGUJERO(x) & AMARGO(x)) -> (-ANOCHECER(x) | -ACORDAR(x))), ningún agujero amargo anochece y acuerda,-exists x.(AGUJERO(x) & AMARGO(x) & ANOCHECER(x) & ACORDAR(x)),1
todo agujero amargo no anochece o no aguanta ,all x.((AGUJERO(x) & AMARGO(x)) -> (-ANOCHECER(x) | -AGUANTAR(x))), ningún agujero amargo anochece y aguanta,-exists x.(AGUJERO(x) & AMARGO(x) & ANOCHECER(x) & AGUANTAR(x)),1
todo agujero amargo no anochece o no ama ,all x.((AGUJERO(x) & AMARGO(x)) -> (-ANOCHECER(x) | -AMAR(x))), ningún agujero amargo anochece y ama,-exists x.(AGUJERO(x) & AMARGO(x) & ANOCHECER(x) & AMAR(x)),1
todo agujero amargo no anochece o no amanece ,all x.((AGUJERO(x) & AMARGO(x)) -> (-ANOCHECER(x) | -AMANECER(x))), ningún agujero amargo anochece y amanece,-exists x.(AGUJERO(x) & AMARGO(x) & ANOCHECER(x) & AMANECER(x)),1
todo agujero amplio no anochece o no acuerda ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-ANOCHECER(x) | -ACORDAR(x))), ningún agujero amplio anochece y acuerda,-exists x.(AGUJERO(x) & AMPLIO(x) & ANOCHECER(x) & ACORDAR(x)),1
todo agujero amplio no anochece o no aguanta ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-ANOCHECER(x) | -AGUANTAR(x))), ningún agujero amplio anochece y aguanta,-exists x.(AGUJERO(x) & AMPLIO(x) & ANOCHECER(x) & AGUANTAR(x)),1
todo agujero amplio no anochece o no ama ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-ANOCHECER(x) | -AMAR(x))), ningún agujero amplio anochece y ama,-exists x.(AGUJERO(x) & AMPLIO(x) & ANOCHECER(x) & AMAR(x)),1
todo agujero amplio no anochece o no amanece ,all x.((AGUJERO(x) & AMPLIO(x)) -> (-ANOCHECER(x) | -AMANECER(x))), ningún agujero amplio anochece y amanece,-exists x.(AGUJERO(x) & AMPLIO(x) & ANOCHECER(x) & AMANECER(x)),1
todo agujero amarillo no anochece o no acuerda ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-ANOCHECER(x) | -ACORDAR(x))), ningún agujero amarillo anochece y acuerda,-exists x.(AGUJERO(x) & AMARILLO(x) & ANOCHECER(x) & ACORDAR(x)),1
todo agujero amarillo no anochece o no aguanta ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-ANOCHECER(x) | -AGUANTAR(x))), ningún agujero amarillo anochece y aguanta,-exists x.(AGUJERO(x) & AMARILLO(x) & ANOCHECER(x) & AGUANTAR(x)),1
todo agujero amarillo no anochece o no ama ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-ANOCHECER(x) | -AMAR(x))), ningún agujero amarillo anochece y ama,-exists x.(AGUJERO(x) & AMARILLO(x) & ANOCHECER(x) & AMAR(x)),1
todo agujero amarillo no anochece o no amanece ,all x.((AGUJERO(x) & AMARILLO(x)) -> (-ANOCHECER(x) | -AMANECER(x))), ningún agujero amarillo anochece y amanece,-exists x.(AGUJERO(x) & AMARILLO(x) & ANOCHECER(x) & AMANECER(x)),1
todo albañil alegre no acuerda o no aguanta ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-ACORDAR(x) | -AGUANTAR(x))), ningún albañil alegre acuerda y aguanta,-exists x.(ALBAÑIL(x) & ALEGRE(x) & ACORDAR(x) & AGUANTAR(x)),1
todo albañil alegre no acuerda o no ama ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-ACORDAR(x) | -AMAR(x))), ningún albañil alegre acuerda y ama,-exists x.(ALBAÑIL(x) & ALEGRE(x) & ACORDAR(x) & AMAR(x)),1
todo albañil alegre no acuerda o no amanece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-ACORDAR(x) | -AMANECER(x))), ningún albañil alegre acuerda y amanece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & ACORDAR(x) & AMANECER(x)),1
todo albañil alegre no acuerda o no anochece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-ACORDAR(x) | -ANOCHECER(x))), ningún albañil alegre acuerda y anochece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & ACORDAR(x) & ANOCHECER(x)),1
todo albañil alto no acuerda o no aguanta ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-ACORDAR(x) | -AGUANTAR(x))), ningún albañil alto acuerda y aguanta,-exists x.(ALBAÑIL(x) & ALTO(x) & ACORDAR(x) & AGUANTAR(x)),1
todo albañil alto no acuerda o no ama ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-ACORDAR(x) | -AMAR(x))), ningún albañil alto acuerda y ama,-exists x.(ALBAÑIL(x) & ALTO(x) & ACORDAR(x) & AMAR(x)),1
todo albañil alto no acuerda o no amanece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-ACORDAR(x) | -AMANECER(x))), ningún albañil alto acuerda y amanece,-exists x.(ALBAÑIL(x) & ALTO(x) & ACORDAR(x) & AMANECER(x)),1
todo albañil alto no acuerda o no anochece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-ACORDAR(x) | -ANOCHECER(x))), ningún albañil alto acuerda y anochece,-exists x.(ALBAÑIL(x) & ALTO(x) & ACORDAR(x) & ANOCHECER(x)),1
todo albañil amargo no acuerda o no aguanta ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-ACORDAR(x) | -AGUANTAR(x))), ningún albañil amargo acuerda y aguanta,-exists x.(ALBAÑIL(x) & AMARGO(x) & ACORDAR(x) & AGUANTAR(x)),1
todo albañil amargo no acuerda o no ama ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-ACORDAR(x) | -AMAR(x))), ningún albañil amargo acuerda y ama,-exists x.(ALBAÑIL(x) & AMARGO(x) & ACORDAR(x) & AMAR(x)),1
todo albañil amargo no acuerda o no amanece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-ACORDAR(x) | -AMANECER(x))), ningún albañil amargo acuerda y amanece,-exists x.(ALBAÑIL(x) & AMARGO(x) & ACORDAR(x) & AMANECER(x)),1
todo albañil amargo no acuerda o no anochece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-ACORDAR(x) | -ANOCHECER(x))), ningún albañil amargo acuerda y anochece,-exists x.(ALBAÑIL(x) & AMARGO(x) & ACORDAR(x) & ANOCHECER(x)),1
todo albañil amplio no acuerda o no aguanta ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-ACORDAR(x) | -AGUANTAR(x))), ningún albañil amplio acuerda y aguanta,-exists x.(ALBAÑIL(x) & AMPLIO(x) & ACORDAR(x) & AGUANTAR(x)),1
todo albañil amplio no acuerda o no ama ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-ACORDAR(x) | -AMAR(x))), ningún albañil amplio acuerda y ama,-exists x.(ALBAÑIL(x) & AMPLIO(x) & ACORDAR(x) & AMAR(x)),1
todo albañil amplio no acuerda o no amanece ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-ACORDAR(x) | -AMANECER(x))), ningún albañil amplio acuerda y amanece,-exists x.(ALBAÑIL(x) & AMPLIO(x) & ACORDAR(x) & AMANECER(x)),1
todo albañil amplio no acuerda o no anochece ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-ACORDAR(x) | -ANOCHECER(x))), ningún albañil amplio acuerda y anochece,-exists x.(ALBAÑIL(x) & AMPLIO(x) & ACORDAR(x) & ANOCHECER(x)),1
todo albañil amarillo no acuerda o no aguanta ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-ACORDAR(x) | -AGUANTAR(x))), ningún albañil amarillo acuerda y aguanta,-exists x.(ALBAÑIL(x) & AMARILLO(x) & ACORDAR(x) & AGUANTAR(x)),1
todo albañil amarillo no acuerda o no ama ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-ACORDAR(x) | -AMAR(x))), ningún albañil amarillo acuerda y ama,-exists x.(ALBAÑIL(x) & AMARILLO(x) & ACORDAR(x) & AMAR(x)),1
todo albañil amarillo no acuerda o no amanece ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-ACORDAR(x) | -AMANECER(x))), ningún albañil amarillo acuerda y amanece,-exists x.(ALBAÑIL(x) & AMARILLO(x) & ACORDAR(x) & AMANECER(x)),1
todo albañil amarillo no acuerda o no anochece ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-ACORDAR(x) | -ANOCHECER(x))), ningún albañil amarillo acuerda y anochece,-exists x.(ALBAÑIL(x) & AMARILLO(x) & ACORDAR(x) & ANOCHECER(x)),1
todo albañil alegre no aguanta o no acuerda ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AGUANTAR(x) | -ACORDAR(x))), ningún albañil alegre aguanta y acuerda,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AGUANTAR(x) & ACORDAR(x)),1
todo albañil alegre no aguanta o no ama ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AGUANTAR(x) | -AMAR(x))), ningún albañil alegre aguanta y ama,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AGUANTAR(x) & AMAR(x)),1
todo albañil alegre no aguanta o no amanece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AGUANTAR(x) | -AMANECER(x))), ningún albañil alegre aguanta y amanece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AGUANTAR(x) & AMANECER(x)),1
todo albañil alegre no aguanta o no anochece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AGUANTAR(x) | -ANOCHECER(x))), ningún albañil alegre aguanta y anochece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AGUANTAR(x) & ANOCHECER(x)),1
todo albañil alto no aguanta o no acuerda ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AGUANTAR(x) | -ACORDAR(x))), ningún albañil alto aguanta y acuerda,-exists x.(ALBAÑIL(x) & ALTO(x) & AGUANTAR(x) & ACORDAR(x)),1
todo albañil alto no aguanta o no ama ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AGUANTAR(x) | -AMAR(x))), ningún albañil alto aguanta y ama,-exists x.(ALBAÑIL(x) & ALTO(x) & AGUANTAR(x) & AMAR(x)),1
todo albañil alto no aguanta o no amanece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AGUANTAR(x) | -AMANECER(x))), ningún albañil alto aguanta y amanece,-exists x.(ALBAÑIL(x) & ALTO(x) & AGUANTAR(x) & AMANECER(x)),1
todo albañil alto no aguanta o no anochece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AGUANTAR(x) | -ANOCHECER(x))), ningún albañil alto aguanta y anochece,-exists x.(ALBAÑIL(x) & ALTO(x) & AGUANTAR(x) & ANOCHECER(x)),1
todo albañil amargo no aguanta o no acuerda ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AGUANTAR(x) | -ACORDAR(x))), ningún albañil amargo aguanta y acuerda,-exists x.(ALBAÑIL(x) & AMARGO(x) & AGUANTAR(x) & ACORDAR(x)),1
todo albañil amargo no aguanta o no ama ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AGUANTAR(x) | -AMAR(x))), ningún albañil amargo aguanta y ama,-exists x.(ALBAÑIL(x) & AMARGO(x) & AGUANTAR(x) & AMAR(x)),1
todo albañil amargo no aguanta o no amanece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AGUANTAR(x) | -AMANECER(x))), ningún albañil amargo aguanta y amanece,-exists x.(ALBAÑIL(x) & AMARGO(x) & AGUANTAR(x) & AMANECER(x)),1
todo albañil amargo no aguanta o no anochece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AGUANTAR(x) | -ANOCHECER(x))), ningún albañil amargo aguanta y anochece,-exists x.(ALBAÑIL(x) & AMARGO(x) & AGUANTAR(x) & ANOCHECER(x)),1
todo albañil amplio no aguanta o no acuerda ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-AGUANTAR(x) | -ACORDAR(x))), ningún albañil amplio aguanta y acuerda,-exists x.(ALBAÑIL(x) & AMPLIO(x) & AGUANTAR(x) & ACORDAR(x)),1
todo albañil amplio no aguanta o no ama ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-AGUANTAR(x) | -AMAR(x))), ningún albañil amplio aguanta y ama,-exists x.(ALBAÑIL(x) & AMPLIO(x) & AGUANTAR(x) & AMAR(x)),1
todo albañil amplio no aguanta o no amanece ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-AGUANTAR(x) | -AMANECER(x))), ningún albañil amplio aguanta y amanece,-exists x.(ALBAÑIL(x) & AMPLIO(x) & AGUANTAR(x) & AMANECER(x)),1
todo albañil amplio no aguanta o no anochece ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-AGUANTAR(x) | -ANOCHECER(x))), ningún albañil amplio aguanta y anochece,-exists x.(ALBAÑIL(x) & AMPLIO(x) & AGUANTAR(x) & ANOCHECER(x)),1
todo albañil amarillo no aguanta o no acuerda ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-AGUANTAR(x) | -ACORDAR(x))), ningún albañil amarillo aguanta y acuerda,-exists x.(ALBAÑIL(x) & AMARILLO(x) & AGUANTAR(x) & ACORDAR(x)),1
todo albañil amarillo no aguanta o no ama ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-AGUANTAR(x) | -AMAR(x))), ningún albañil amarillo aguanta y ama,-exists x.(ALBAÑIL(x) & AMARILLO(x) & AGUANTAR(x) & AMAR(x)),1
todo albañil amarillo no aguanta o no amanece ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-AGUANTAR(x) | -AMANECER(x))), ningún albañil amarillo aguanta y amanece,-exists x.(ALBAÑIL(x) & AMARILLO(x) & AGUANTAR(x) & AMANECER(x)),1
todo albañil amarillo no aguanta o no anochece ,all x.((ALBAÑIL(x) & AMARILLO(x)) -> (-AGUANTAR(x) | -ANOCHECER(x))), ningún albañil amarillo aguanta y anochece,-exists x.(ALBAÑIL(x) & AMARILLO(x) & AGUANTAR(x) & ANOCHECER(x)),1
todo albañil alegre no ama o no acuerda ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún albañil alegre ama y acuerda,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AMAR(x) & ACORDAR(x)),1
todo albañil alegre no ama o no aguanta ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún albañil alegre ama y aguanta,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AMAR(x) & AGUANTAR(x)),1
todo albañil alegre no ama o no amanece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AMAR(x) | -AMANECER(x))), ningún albañil alegre ama y amanece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AMAR(x) & AMANECER(x)),1
todo albañil alegre no ama o no anochece ,all x.((ALBAÑIL(x) & ALEGRE(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún albañil alegre ama y anochece,-exists x.(ALBAÑIL(x) & ALEGRE(x) & AMAR(x) & ANOCHECER(x)),1
todo albañil alto no ama o no acuerda ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún albañil alto ama y acuerda,-exists x.(ALBAÑIL(x) & ALTO(x) & AMAR(x) & ACORDAR(x)),1
todo albañil alto no ama o no aguanta ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún albañil alto ama y aguanta,-exists x.(ALBAÑIL(x) & ALTO(x) & AMAR(x) & AGUANTAR(x)),1
todo albañil alto no ama o no amanece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AMAR(x) | -AMANECER(x))), ningún albañil alto ama y amanece,-exists x.(ALBAÑIL(x) & ALTO(x) & AMAR(x) & AMANECER(x)),1
todo albañil alto no ama o no anochece ,all x.((ALBAÑIL(x) & ALTO(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún albañil alto ama y anochece,-exists x.(ALBAÑIL(x) & ALTO(x) & AMAR(x) & ANOCHECER(x)),1
todo albañil amargo no ama o no acuerda ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún albañil amargo ama y acuerda,-exists x.(ALBAÑIL(x) & AMARGO(x) & AMAR(x) & ACORDAR(x)),1
todo albañil amargo no ama o no aguanta ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AMAR(x) | -AGUANTAR(x))), ningún albañil amargo ama y aguanta,-exists x.(ALBAÑIL(x) & AMARGO(x) & AMAR(x) & AGUANTAR(x)),1
todo albañil amargo no ama o no amanece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AMAR(x) | -AMANECER(x))), ningún albañil amargo ama y amanece,-exists x.(ALBAÑIL(x) & AMARGO(x) & AMAR(x) & AMANECER(x)),1
todo albañil amargo no ama o no anochece ,all x.((ALBAÑIL(x) & AMARGO(x)) -> (-AMAR(x) | -ANOCHECER(x))), ningún albañil amargo ama y anochece,-exists x.(ALBAÑIL(x) & AMARGO(x) & AMAR(x) & ANOCHECER(x)),1
todo albañil amplio no ama o no acuerda ,all x.((ALBAÑIL(x) & AMPLIO(x)) -> (-AMAR(x) | -ACORDAR(x))), ningún albañil amplio ama y acuerda,-exists x.(ALBAÑIL(x) & AMPLIO(x) & AMAR(x) & ACORDAR(x)),1
